Installation Date,ESN,Prefix,Trailer Number,,Box #,Activated,Activated Date,Notes,,,,,,,
2/18/2016,4642004309,AGR,8096,,2,X,22-Jun,,,,,,,,
5/7/2016,4642005131,AG ,2712,2716,38,X,1-Aug,,,,,,,,
6/2/2016,4642005151,AG ,2004,2010,47,X,6-Jul,,,,,,,,
6/2/2016,4642005329,AG ,3102,3094,47,X,1-Aug,,,,,,,,
6/2/2016,4642005668,AG ,2020,2028,47,X,29-Jun,,,,,,,,
6/3/2016,4642034288,AG ,5242,5348,52,X,29-Jun,,,,,,,,
,4642037471,,,,,,,"ESN sent by file, box never received (DELETED IN GEO)",,,,,,,
2/22/2016,4642037650,AG,2614,2614,6,X,29-Jun,,,,,,,,
5/7/2016,4642037974,AG,2896,2888,43,X,30-Jun,,,,,,,,
4/16/2016,4642037981,AG,3892,3902,33,X,1-Jul,,,,,,,,
,4642037985,,,,,,,"ESN sent by file, box never received (DELETED IN GEO)",,,,,,,
6/1/2016,4642037990,AGST,1070A,,71,X,1-Jul,Standard,,,,,,,
5/19/2016,4642038331,AG,1408,1408,58,X,1-Jul,,,,,,,,
5/26/2016,4642038338,AGST,305,,68,X,1-Jul,Standard,,,,,,,
5/26/2016,4642038341,AGST,1273,,68,X,1-Jul,Standard,,,,,,,
6/1/2016,4642038342,AGST,1130A,,72,X,1-Jul,Standard,,,,,,,
4/16/2016,4642038345,AG,3856,3866,33,X,2-Jul,,,,,,,,
5/19/2016,4642038346,AG,2948,2942,58,X,2-Jul,,,,,,,,
4/2/2016,4642038349,AG,2710,2714,25,X,2-Jul,,,,,,,,
6/10/2016,4642038356,AGR,9060,,53,X,2-Jul,,,,,,,,
6/1/2016,4642038357,AGST,4717,5132,71,X,2-Jul,Standard,,,,,,,
4/2/2016,4642038364,AG,1926,1932,20,X,2-Jul,,,,,,,,
6/3/2016,4642038376,AG,5154,5270,67,X,2-Jul,,,,,,,,
8/20/2016,4642038378,AGHB,43,,53,x,8/20/2016,,,,,,,,
4/16/2016,4642038380,AG,3818,3828,33,X,2-Jul,,,,,,,,
5/19/2016,4642038385,AG,1598,1604,58,X,2-Jul,,,,,,,,
5/19/2016,4642038387,AG,2882,2874,58,X,28-Jun,,,,,,,,
6/1/2016,4642038388,AGST,1108A,,71,X,1-Jul,Standard,,,,,,,
5/26/2016,4642038391,AGST,178A,,68,X,3-Jul,Standard,,,,,,,
6/3/2016,4642038395,AG,3580,3582,67,X,26-Jun,,,,,,,,
5/12/2016,4642038399,AG,3548,3548,46,X,27-Jun,,,,,,,,
5/19/2016,4642038400,AG,1800,1802,58,X,28-Jun,,,,,,,,
5/7/2016,4642038428,AG,2336,2342,38,X,7-Jul,,,,,,,,
2/19/2016,4642038446,AG,5234,5340,2,X,22-Jun,,,,,,,,
5/12/2016,4642038450,AG,3554,3554,46,X,23-Jun,,,,,,,,
4/14/2016,4642038489,AG,1806,1808,29,X,29-Jun,,,,,,,,
5/7/2016,4642038563,AG,1904,1910,43,X,27-Jun,,,,,,,,
